Использовать заднюю рулевую рейку,Работа,Задание положения,Статус,Текущее положение,Ток статора,Температура инвертора,"Ограничение рулевой рейки ""+""","Ограничение рулевой рейки ""-""",Нулевое положение рулевой рейки,Множитель для показаний тока рулевых,Работа,Задание положения,Статус,Текущее положение,Ток статора,Температура инвертора,"Ограничение рулевой рейки ""+""","Ограничение рулевой рейки ""-""",Нулевое положение рулевой рейки,Множитель для показаний тока рулевых,time
1.0,1.0,-12.0,1.0,-11.0,400.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:53.753009
1.0,1.0,-12.0,1.0,-11.0,300.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:54.320556
1.0,1.0,-12.0,1.0,-11.0,400.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,13.0,1000.0,-964.0,-18.0,10.0,15:50:54.839633
1.0,1.0,-12.0,1.0,-11.0,500.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,3900.0,13.0,1000.0,-964.0,-18.0,10.0,15:50:55.401966
1.0,1.0,-12.0,1.0,-11.0,400.0,13.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:55.879470
1.0,1.0,-12.0,1.0,-11.0,100.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:56.401071
1.0,1.0,-12.0,1.0,-11.0,700.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,3900.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:56.885423
1.0,1.0,-12.0,1.0,-11.0,100.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:57.356796
1.0,1.0,-12.0,1.0,-11.0,300.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,13.0,1000.0,-964.0,-18.0,10.0,15:50:57.818022
1.0,1.0,-12.0,1.0,-11.0,200.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,13.0,1000.0,-964.0,-18.0,10.0,15:50:58.319516
1.0,1.0,-12.0,1.0,-11.0,0.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,3900.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:58.793028
1.0,1.0,-12.0,1.0,-11.0,400.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:59.306754
1.0,1.0,-12.0,1.0,-11.0,100.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,4000.0,12.0,1000.0,-964.0,-18.0,10.0,15:50:59.777523
1.0,1.0,-12.0,1.0,-11.0,600.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-18.0,3700.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:00.342054
1.0,1.0,-12.0,1.0,-12.0,600.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-22.0,3000.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:00.839343
1.0,1.0,-12.0,1.0,-12.0,500.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-22.0,3700.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:01.351960
1.0,1.0,-12.0,1.0,-13.0,600.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,2200.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:01.835248
1.0,1.0,-12.0,1.0,-13.0,1300.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,2100.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:02.352838
1.0,1.0,-12.0,1.0,-13.0,2100.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,900.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:02.839242
1.0,1.0,-12.0,1.0,-13.0,1800.0,13.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,2300.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:03.310671
1.0,1.0,-12.0,1.0,-13.0,1300.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,2000.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:03.788148
1.0,1.0,-12.0,1.0,-13.0,2100.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,1900.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:04.313581
1.0,1.0,-12.0,1.0,-13.0,1700.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,1900.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:04.934747
1.0,1.0,-12.0,1.0,-13.0,1000.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,1800.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:05.502244
1.0,1.0,-12.0,1.0,-13.0,1800.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,1500.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:05.986253
1.0,1.0,-12.0,1.0,-13.0,2200.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,1800.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:06.538052
1.0,1.0,-12.0,1.0,-13.0,1200.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,2500.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:07.027749
1.0,1.0,-12.0,1.0,-13.0,1200.0,12.0,1000.0,-994.0,-3.0,10.0,1.0,-18.0,1.0,-17.0,2400.0,12.0,1000.0,-964.0,-18.0,10.0,15:51:07.510806
